Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C8, C9",1206,4,2.2u,C170101
"C10, C3",1206,2,0.1u,C56392
"C11, C4",1206,2,6800p,C2760541
"C12, C5",1206,2,39p,C5186878
"C13, C14, C6, C7",1206,4,47u,C94034
C15,1206,1,0.1u,
CN1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,1,Battery,C8465
CN2,CONN-TH_5P-P5.08_DIBO_DB128V-5.08-5P-GN-S,1,EQ,C2927513
CN3,CONN-TH_5P-P5.08_DIBO_DB128V-5.08-5P-GN-S,1,DEC,C2927513
CN4,CONN-TH_5P-P5.08_DIBO_DB128V-5.08-5P-GN-S,1,FOCUS,C2927513
CN5,CONN-TH_2P-P5.00_WJ500V-5.08-2P,1,Camera,C8465
"D1, D2",SMC_L7.1-W6.2-LS8.1-RD,2,B560C-13-F,C85100
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"J3, J5",PinHeader_1x03_P2.54mm_Horizontal,2,Conn_01x03_Pin,
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"L1, L2",IND-SMD_L11.5-W10.0_FXL1040,2,FXL1040-8R2-M,C167232
"R1, R5",1206,2,162k,C22815
"R10, R9",1206,2,5k,
R11,1206,1,10k,
R12,1206,1,100k,
"R2, R6",1206,2,13k,C445658
R3,1206,1,53.6k,C21398
"R4, R8",1206,2,10.2k,C217771
R7,1206,1,81.6k,C21398
"U1, U2",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0,2,TPS54360BDDAR,C524806
U3,SOIC-14_L10.1-W5.0-P1.27-LS7.4-BL,1,RX8025T-UB,C17353
U4,RPi_Pico_SMD_TH,1,Pico,
USB1,USB-A-TH_USB-231-ARY,1,Pi-Power,C720525
