Designator,Mid X,Mid Y,Rotation,Layer
C1,121.92,-62.738,270.0,top
C10,187.452,-63.83,90.0,top
C11,201.422,-68.326,90.0,top
C12,198.374,-68.326,90.0,top
C13,187.198,-57.404,270.0,top
C14,189.738,-57.404,270.0,top
C15,126.492,-98.552,90.0,top
C2,124.46,-62.738,270.0,top
C3,119.126,-61.214,270.0,top
C4,107.696,-55.88,270.0,top
C5,104.648,-55.88,270.0,top
C6,116.84,-66.802,90.0,top
C7,119.38,-66.802,90.0,top
C8,184.658,-61.468,90.0,top
C9,182.118,-61.468,90.0,top
CN1,152.608,-56.082,0.0,top
CN2,76.1,-126.72,270.0,top
CN3,76.1,-98.78,270.0,top
CN4,228.7,-127.28,90.0,top
CN5,228.04,-68.88,90.0,top
D1,109.474,-63.246,0.0,top
D2,196.088,-61.214,180.0,top
J1,152.385,-134.62,90.0,top
J2,134.62,-81.265,0.0,top
J4,110.49,-93.98,180.0,top
L1,98.806,-66.294,270.0,top
L2,207.01,-58.42,90.0,top
R1,117.094,-51.536,90.0,top
R10,134.62,-94.26,270.0,top
R11,176.276,-100.076,180.0,top
R12,174.752,-96.266,270.0,top
R2,106.172,-52.07,0.0,top
R3,99.06,-53.594,270.0,top
R4,101.6,-53.594,90.0,top
R5,189.738,-73.152,270.0,top
R6,199.924,-72.136,0.0,top
R7,207.518,-69.342,180.0,top
R8,207.544,-71.882,0.0,top
R9,134.62,-88.62,90.0,top
U1,114.324,-57.272,0.0,top
U2,192.508,-67.264,180.0,top
U3,123.952,-90.678,270.0,top
U4,152.4,-101.845,0.0,top
USB1,78.74,-76.454,270.0,top
